index,address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
0,"""AQUA"" S. A. Oczyszczalnia Ścieków, ul. Bestwińska 63, 43-300 Bielsko-Biała",510,504,893,986
1,"""Acherówka"", ul. Walerego Sławka 2, 02-495 Warszawa",686,315,191,579
15,"""Klub Relax"", ul. Chocianowska 78, 59-100 Polkowice",441,382,868,954
28,"""Sołtysówka"", ul. mjr. Henryka Sucharskiego 1, 43-211 Piasek",241,322,438,630
30,"""Stara Szkoła"" w Dębowcu, ul. Szkolna 5, 43-426 Dębowiec",233,282,437,584
31,"""Stare Kino"" w Kalwarii Zebrzydowskiej, ul. Adama Mickiewicza 4, 34-130 Kalwaria Zebrzydowska",347,385,542,681
57,"AAI-Polska AIKIDO, ul. Immanuela Kanta 15A, 10-691 Olsztyn",736,287,132,484
60,"ATElier Kultury, ul. Wiosny Ludów 1, 43-600 Jaworzno",475,488,772,859
61,"ATM STUDIO Sp zo. o., ul. Wał Miedzeszyński 384, 03-994 Warszawa",608,228,35,441
77,"Akademia Nauk Stosowanych w Koninie, ul. Księdza Jerzego Popiełuszki 4, 62-510 Konin",565,555,923,931
79,"Akademia Pożarnicza, ul. Henryka Siemiradzkiego 2, 01-630 Warszawa",609,238,105,517
84,"Akademia Zamojska, ul. Hrubieszowska 24, 22-400 Zamość",293,406,459,696
86,"Akademicka Spółdzielnia Mieszkaniowa, Gdańsk ul. Księcia Józefa Poniatowskiego 13, 80-156 Gdańsk 48",750,218,128,362
94,"Andrychów, Szkoła Podstawowa Nr 2, Hala Sportowa, ul. Ignacego Daszyńskiego 14, 34-120 Andrychów",339,294,543,574
154,"Artystyczny Dom Animacji ""ADA"", ul. ks. Juliana Chrościckiego 14, 02-421 Warszawa",503,214,908,488
194,"Biblioteka Miejska w Łodzi Filia Nr 47, ul. Brzeźna 10, 90-303 Łódź",846,217,408,445
195,"Biblioteka Miejska w Łodzi Filia Nr 72, ul. Wincentego Kadłubka 40, 93-248 Łódź",780,406,1267,830
196,"Biblioteka Miejska w Łodzi Filia nr 73, ul. Piękna 35/39, 93-558 Łódź",757,427,250,736
200,"Biblioteka Miejska, ul. Imielińska 92/sala nr 1, 41-407 Imielin",362,391,617,712
201,"Biblioteka Miejska, ul. Imielińska 92/sala nr 5, 41-407 Imielin",454,394,743,720
220,"Biblioteka Publiczna Miasta Rydułtowy, ul. Adama Mickiewicza 33, 44-280 Rydułtowy",281,374,452,685
227,"Biblioteka Publiczna Miasta i Gminy Radzymin, ul. Konstytucji 3 Maja 15, 05-250 Radzymin",325,378,562,707
243,"Biblioteka Publiczna im. Zygmunta Jana Rumla, ul. Janusza Meissnera 5, 03-982 Warszawa",900,381,1450,676
245,"Biblioteka Publiczna w Dzielnicy Bemowo m. st. Warszawy Punkt Biblioteczny ""Chrzanów"", ul. Batalionów Chłopskich 87, 01-307 Warszawa",756,209,508,641
252,"Biblioteka Publiczna w Pajęcznie, ul. Wiśniowa 5, 98-330 Pajęczno",305,458,513,787
258,"Biblioteka Publiczna we Włoszczowie, ul. Kościuszki 11, 29-100 Włoszczowa",271,480,442,782
261,"Biblioteka Publiczna, ul. Czerwona Droga 6, 02-496 Warszawa",528,144,176,572
267,"Biblioteka Publiczna, ul. Poznańska 16, 62-095 Murowana Goślina",669,229,88,493
270,"Biblioteka Publiczna, ul. gen. Tadeusza Pełczyńskiego 28C, 01-471 Warszawa",759,227,347,503
289,"Biblioteka-Centrum Kultury, ul. Toruńska 4, 87-152 Łubianka",379,220,728,509
295,"Bielsko-Bialski Ośrodek Sportu i Rekreacji, ul. Jaskrowa 13, 43-300 Bielsko-Biała",437,357,714,704
301,"Biuro Nadleśnictwa, ul. Kopytko 13, 43-300 Bielsko-Biała",764,356,142,659
312,"Bocheńskie Zakłady Usług Komunalnych Sp. z o.o. w Bochni, ul. 20 Stycznia 46, 32-700 Bochnia",279,366,529,670
320,"Branżowa Szkoła I Stopnia Nr 30, ul. Józefa Szujskiego 2, 31-123 Kraków",392,142,782,289
324,"Brochowskie Centrum Aktywności Lokalnej we Wrocławiu, ul. Koreańska 1a, 52-121 Wrocław",515,298,951,602
336,"Budynek ""Perła Lubczy"" w Lubczy, Lubcza 460, 33-162 Lubcza",43,506,103,870
341,"Budynek Biblioteki Pedagogicznej, ul. Henryka Wieniawskiego 15, 22-100 Chełm",432,337,652,675
344,"Budynek Centrum Integracji Społecznej w Policznie, ul. Bolesława Prusa 11B, 26-720 Policzna",156,447,251,805
345,"Budynek Chełmskiego Domu Kultury, pl. Tysiąclecia Państwa Polskiego 1, 22-100 Chełm",298,292,416,584
351,"Budynek Dworca PKP w Chojnowie, pl. Dworcowy 9, 59-225 Chojnów",303,346,476,659
355,"Budynek Gminnego Ośrodka Kultury w Korczynie, ul. Spółdzielcza 20, 38-420 Korczyna",404,1028,683,1795
385,"Budynek KOS Łęg Tarnowski, ul. Witosa 187A, 33-131 Łęg Tarnowski",203,624,369,51
407,"Budynek Miejskiego Przedsiębiorstwa Gospodarki Komunalnej Sp. z o. o., ul. Wołyńska 57, 22-100 Chełm",303,306,492,609
482,"Budynek OSP, ul. Starogardzka 42, 89-650 Czersk",273,394,484,680
494,"Budynek Ochotniczej Straży Pożarnej w Górze Świętej Małgorzaty, Góra Świętej Małgorzaty 45, 99-122 Góra Św. Małgorzaty",86,424,162,764
512,"Budynek Ochotniczej Straży Pożarnej w Radawcu Dużym, Radawiec Duży 154, 21-030 Motycz",283,418,553,897
537,"Budynek POLO MARKETU, os. Osiedle Prymasa Wyszyńskiego 5, 63-000 Środa Wielkopolska",588,243,60,555
540,"Budynek Państwowej Szkoły Muzycznej I i II stopnia., ul. Hrubieszowska 102, 22-100 Chełm",305,302,484,633
549,"Budynek Przedszkola Miejskiego w Skórczu, ul. Wojska Polskiego 11, 83-220 Skórcz",433,538,708,959
550,"Budynek Przedszkola Niepublicznego z Oddziałami Integracyjnymi ""Razem"", ul. Botaniczna 16, 22-100 Chełm",296,360,476,656
567,"Budynek Remizy w Brzegach, Brzegi 116, 28-305 Sobków",121,285,226,576
568,"Budynek Restauracji ""Pod Strzechą"", ul. Skibówki 29, 34-500 Zakopane",197,338,440,633
582,"Budynek Starej Szkoły w Piszczacu (duża sala konferencyjna), Piszczac 4, 21-530 Piszczac",161,450,264,767
587,"Budynek Studium Wychowania Fizycznego Wojskowej Akademii Technicznej, ul. Kartezjusza 1, 01-480 Warszawa",745,200,58,317
590,"Budynek Szkoły Podstawowej (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło",286,814,526,1543
591,"Budynek Szkoły Podstawowej Nr 7, ul. Synów Pułku 15, 22-100 Chełm",355,360,531,676
601,"Budynek Szkoły Podstawowej w Konopnicy, Kozubszczyzna 40, 21-030 Motycz",426,341,622,647
605,"Budynek Szkoły Podstawowej w Motyczu, Motycz 33, 21-030 Motycz",509,496,898,983
610,"Budynek Szkoły Podstawowej w Zemborzycach Tereszyńskich, Zemborzyce Tereszyńskie 2, 20-515 Lublin",316,440,606,960
618,"Budynek Szkoły Policealnej-Medyczne Studium Zawodowe im. Władysławy Szoc, ul. Szpitalna 50, 22-100 Chełm",350,297,504,638
636,"Budynek Uniwersytetu Wrocławskiego, ul. Kuźnicza 49/55, 50-138 Wrocław",380,185,830,389
638,"Budynek Urzędu Gminy w Bargłowie Kościelnym, ul. Augustowska 47, 16-320 Bargłów Kościelny",113,454,263,881
639,"Budynek Urzędu Gminy w Belsku Dużym, ul. Jana Kozietulskiego 4, 05-622 Belsk Duży",252,488,517,894
643,"Budynek Urzędu Miasta i Gminy Narol, ul. Rynek 1, 37-610 Narol",188,389,290,668
660,"Budynek Wiejskiego Ośrodka Kultury, os. Osiedle Kozielce 297, 34-451 Tylmanowa",149,870,280,375
674,"Budynek Wielofunkcyjny w Zielonkach, ul. Lawendowa 32, 32-087 Zielonki",628,152,1072,426
706,"Budynek byłego Gimnazjum w Szydłowie, Szydłów-Kolonia 58, 97-306 Grabica",126,439,230,768
716,"Budynek byłej Samorządowej Szkoły Podstawowej, Gorzków 80, 28-500 Kazimierza Wielka",91,413,188,714
768,"Budynek byłej Szkoły Podstawowej, ul. Kazimierza Przerwy-Tetmajera 56, 34-471 Ludźmierz",167,500,297,895
784,"Budynek dla sportowców, Kończyce Wielkie ul. Kościelna 11, 43-419 Hażlach",233,361,393,646
785,"Budynek dotychczasowego Domu Kultury Kolejarza, ul. Władysława Kunickiego 35, 20-417 Lublin",222,331,461,674
800,"Budynek gminny, tzw. ""dom kultury"" w Puszczy Mariańskiej, ul. Króla Jana Sobieskiego 1, 96-330 Puszcza Mariańska",289,363,492,666
805,"Budynek gospodarczy (świetlica wiejska), Bąkowo ul. Otomińska 6, 83-050 Kolbudy",751,207,158,505
812,"Budynek komunalny przy OSP, ul. Ignacego Krasickiego 215, 05-500 Nowa Wola",837,322,517,776
850,"Budynek po Gimnazjum Nr 1, ul. Kopernika 7, 67-400 Wschowa",397,336,623,634
860,"Budynek po Szkole Podstawowej w Bielsku, ul. Drobińska 19, 09-230 Bielsk",377,855,678,1413
987,"Budynek remizy OSP, ul. Drzewiarza 22, 84-241 Gościcino",278,338,490,683
1013,"Budynek szkoły, ul. Bogdanowicza 9, 21-010 Łęczna",363,704,573,1216
1014,"Budynek szkoły, ul. Jaśminowa 6, 21-010 Łęczna",368,809,637,1511
1016,"Budynek szkoły, ul. Szkolna 53, 21-010 Łęczna",377,607,577,1042
1036,"Budynek wielofunkcyjny w Gliniku, Glinik 133, 39-106 Łączki Kucharskie",38,457,60,748
1041,"Budynek wielofunkcyjny, Dzianisz 173, 34-514 Dzianisz",93,504,154,953
1067,"Budynek Świetlicy na Skwerze Sportów Miejskich, ul. gen. Tadeusza Pełczyńskiego 22H, 01-471 Warszawa",852,218,566,550
1084,"Budynek Żłobka „Psotna Andzia” w Przecławiu, rynek Rynek 8, 39-320 Przecław",131,359,221,678
1086,"Budynek, ul. Bernardyńska 2, 64-000 Kościan",598,334,61,656
1104,"Bystrzycki Ośrodek Kultury i Sportu, ul. Wojska Polskiego 20, 57-500 Bystrzyca Kłodzka",573,409,859,739
1121,"CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego, ul. Wojciecha Żywnego 25, 02-701 Warszawa",799,302,1383,527
1122,"CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”, ul. Podchorążych 49/61, 00-722 Warszawa",1070,458,833,818
1125,"CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Chełmska 23, 00-724 Warszawa",721,241,249,450
1126,"CLXV LICEUM OGÓLNOKSZTAŁCĄCE, ul. Ostródzka 175, 03-289 Warszawa",504,134,879,294
1132,"CV Liceum Ogólnokształcące, ul. Vincenta van Gogha 1, 03-188 Warszawa",831,399,1232,681
1133,"CXXII Liceum Ogólnokształcące, ul. Leopolda Staffa 3/5, 01-891 Warszawa",1281,642,2517,1176
1134,"CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana, ul. Olgierda 35/41, 03-536 Warszawa",788,442,1284,769
1139,"Caritas Diecezji Opolskiej Rejon Nysa, ul. Grodkowska 26, 48-300 Nysa",484,379,751,707
1144,"Centralna Szkoła Państwowej Straży Pożarnej, ul. Sabinowska 62/64, 42-280 Częstochowa",756,421,1202,809
1151,"Centrum Aktywizacji Społecznej, ul. Powstańców 70/3, 41-500 Chorzów",478,287,792,619
1154,"Centrum Aktywizacji i Integracji Społecznje (wejście D od ulicy Sportowej), ul. Sportowa 29, 05-825 Grodzisk Mazowiecki",500,247,878,520
1156,"Centrum Aktywności Lokalnej BOREK, ul. Powstańców Śląskich 210-218, 53-140 Wrocław",799,306,187,545
1157,"Centrum Aktywności Lokalnej Maślice, ul. Suwalska 11, 54-104 Wrocław",615,175,272,477
1159,"Centrum Aktywności Lokalnej Rewir Twórczy, ul. Swojczycka 118, 51-502 Wrocław",630,133,638,456
1160,"Centrum Aktywności Lokalnej Zakrzów, ul. Wilanowska 29a, 51-206 Wrocław",622,446,162,769
1195,"Centrum Aktywności Społecznej w Świętoszowie, ul. Szkolna 15, 59-726 Świętoszów",195,104,284,391
1198,"Centrum Aktywności Społecznej, ul. Kasprowicza 8, 67-100 Nowa Sól",1134,563,1664,993
1205,"Centrum Animacji Kultury, ul. Jana Pawła II 10, 64-550 Duszniki",317,272,545,588
1214,"Centrum Dydaktyczne Warszawskiego Uniwersytetu Medycznego, ul. Księcia Trojdena 2A, 02-109 Warszawa",436,204,863,383
1224,"Centrum Edukacji Nauczycieli, ul. Ferdynanda Ruszczyca 16, 75-654 Koszalin",710,253,56,461
1236,"Centrum Edukacyjno-Multimedialne (Szkoła Podstawowa nr 4), ul. Jana Pawła II 55, 05-500 Piaseczno",680,255,1238,694
1242,"Centrum GRAFIT, ul. Namysłowska 8, 50-304 Wrocław",458,107,629,432
1243,"Centrum Handlowe ""Ryś"", ul. Krakowska 2, 38-500 Sanok",283,332,419,625
1276,"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2 - wejście od ul. Wygodnej), ul. Jedności Narodowej 117, 50-301 Wrocław",447,234,824,400
1277,"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław",775,419,1513,790
1278,"Centrum Kształcenia Plejada Szkoła Policealna ""NOVUM"", ul. Czesława Dylewicza 10, 08-110 Siedlce",548,686,924,1434
1280,"Centrum Kształcenia Sportowego, ul. Lucjana Rydla 49, 70-783 Szczecin",770,398,1168,684
1282,"Centrum Kształcenia Ustawicznego Budynek-C, ul. Swobodna 73, 50-089 Wrocław",461,255,854,436
1283,"Centrum Kształcenia Ustawicznego Nr 2, ul. Szczęśliwicka 50/54, 02-353 Warszawa",1261,359,1002,677
1287,"Centrum Kształcenia Zawodowego Nr 1 Wydział Budowlany, ul. Wesele 41, 30-127 Kraków",645,238,370,536
1288,"Centrum Kształcenia Zawodowego i Ustawicznego Nr 1, Gdańsk al. Aleja Gen. Józefa Hallera 16/18, 80-426 Gdańsk 6",700,300,297,563
1291,"Centrum Kształcenia Zawodowego i Ustawicznego Nr 2 w Przemyślu, ul. Harcmistrz Izydory Kossowskiej 1, 37-700 Przemyśl",526,616,784,1074
1292,"Centrum Kształcenia Zawodowego i Ustawicznego Nr 2, Gdańsk ul. Smoleńska 5/7, 80-058 Gdańsk 9",664,379,98,708
1297,"Centrum Kształcenia Zawodowego i Ustawicznego nr 2, ul. płk. Stanisława Dąbka 207, 81-167 Gdynia",872,405,1340,669
