id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1404445,"Dom Ludowy, Krępnica 29A, 59-700 Bolesławiec",116,147,1467435,66,42
1404582,"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów",340,381,1467578,324,418
1404682,"Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka",155,108,1467693,91,43
1404714,"Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach, ul. Tysiąclecia 28, 58-573 Piechowice",212,388,1467727,202,288
1405002,"Szkoła Podstawowa im. J. Pawła II w Smolniku, Smolnik 52, 59-820 Leśna",215,240,1468044,179,210
1405109,"Centrum Kultury i Biblioteka w Ścinawie, ul. Tadeusza Kościuszki 1, 59-330 Ścinawa",355,279,1468158,165,102
1405674,"Gminne Centrum Kultury i Sztuki w Trzebnicy, ul. Prusicka 12, 55-100 Trzebnica",158,210,1468762,145,112
1405752,"Biblioteka + Centrum Kultury w Czarnym Borze, ul. Sportowa 43, 58-379 Czarny Bór",242,271,1468822,168,163
1405981,"Szkoła Podstawowa nr 3, ul. Władysława Orkana 32, 57-200 Ząbkowice Śląskie",213,306,1469066,203,253
1406170,"Szkoła Podstawowa Nr 11, ul. Mieczysława Karłowicza 33, 58-506 Jelenia Góra",239,523,1469268,228,496
1406303,"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław",229,394,1469417,182,386
1406306,"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław",229,336,1469417,182,386
1406437,"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław",367,548,1469548,343,581
1406448,"Szkoła Podstawowa nr 5, ul. Jelenia 7, 54-242 Wrocław",297,721,1469561,277,681
1406490,"Liceum Ogólnokształcące nr XIV, al. Aleksandra Brücknera 10, 51-410 Wrocław",271,541,1469619,269,412
1406505,"Szkoła Podstawowa Nr 50, ul. Czeska 40, 51-112 Wrocław",279,497,1469615,199,356
1406556,"Zespół Szkół Muzycznych, ul. Piętnastolecia 24, 58-309 Wałbrzych",188,344,1469696,169,384
1406580,"Zespół Szkolno-Przedszkolny Nr 8, ul. Poznańska 8, 58-303 Wałbrzych",262,317,1469724,179,239
1406604,"Szkoła Podstawowa Nr 4 im. Jana Pawła II, ul. Strażacka 22, 87-700 Aleksandrów Kujawski",208,251,1469753,131,113
1406616,"Szkoła Podstawowa nr 3, ul. Wojska Polskiego 37, 87-720 Ciechocinek",494,702,1469765,347,472
1406699,"Zespół Szkół, ul. Fryderyka Chopina 1, 87-320 Górzno",231,141,1469859,153,46
1406759,"Zespół Szkół im. Mariana Rejewskiego w Ostromecku, Ostromecko ul. Szkolna 1, 86-070 Dąbrowa Chełmińska",139,192,1469914,133,192
1406882,"Zespół Szkolno-Przedszkolny, ul. Toruńska 16, 86-230 Lisewo",203,257,1470046,111,44
1407250,"Szkoła Podstawowa im. Powstańców Wielkopolskich w Wójcinie, Wójcin 59, 88-324 Jeziora Wielkie",209,122,1470423,178,83
1407255,"Zespół Szkolno-Przedszkolny w Mogilnie, ul. Powstańców Wlkp. 33, 88-300 Mogilno",194,364,1470444,193,234
1407332,"Zespół Szkolno-Przedszkolny, Paterek ul. Kcyńska 6a, 89-100 Nakło nad Notecią",178,220,1470506,57,41
1407335,"Zespół Szkolno-Przedszkolny, ul. Dworcowa 9, 89-121 Ślesin",208,222,1470511,102,68
1407348,"Zespół Szkolno-Przedszkolny, Paterek ul. Kcyńska 6a, 89-100 Nakło nad Notecią",162,233,1470506,57,41
1407449,"Zespół Szkół Nr 2, ul. Dworcowa 11, 87-500 Rypin",199,145,1470632,191,259
1407631,"Szkoła Podstawowa, Gruczno ul. Chełmińska 5, 86-105 Świecie",193,189,1470821,122,94
1407782,"Tucholski Ośrodek Kultury, ul. Plac Zamkowy 8, 89-500 Tuchola",190,195,1470995,132,98
1407870,"Szkoła Podstawowa im. Tadeusza Kościuszki w Chodczu, ul. Waryńskiego 20, 87-860 Chodecz",182,170,1471073,163,182
1407870,"Szkoła Podstawowa im. Tadeusza Kościuszki w Chodczu, ul. Waryńskiego 20, 87-860 Chodecz",182,170,1471076,150,82
1407886,"Zespół Szkół w Izbicy Kujawskiej, ul. Nowomiejska 5, 87-865 Izbica Kujawska",362,111,1471091,237,162
1407963,"Miejsko-Gminny Ośrodek Kultury, ul. Powstańców Wielkopolskich 16, 88-430 Janowiec Wielkopolski",153,166,1471166,120,142
1408033,"Szkoła Podstawowa nr 10, ul. Śląska 7, 85-235 Bydgoszcz",219,335,1471237,195,366
1408051,"Szkoła Podstawowa nr 15, ul. Czerkaska 8, 85-641 Bydgoszcz",202,453,1471253,158,365
1408061,"XI Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Cicha 59, 85-650 Bydgoszcz",194,515,1471265,174,432
1408072,"Szkoła Podstawowa nr 32, ul. Bałtycka 59, 85-707 Bydgoszcz",252,525,1471274,208,471
1408073,"Zespół Szkół Handlowych, ul. Gajowa 94, 85-717 Bydgoszcz",199,353,1471264,196,443
1408074,"Zespół Szkół Handlowych, ul. Gajowa 94, 85-717 Bydgoszcz",212,366,1471264,196,443
1408075,"Zespół Szkół Handlowych, ul. Gajowa 94, 85-717 Bydgoszcz",199,383,1471264,196,443
1408086,"Szkoła Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz",235,761,1471286,189,461
1408087,"Szkoła Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz",200,479,1471286,189,461
1408088,"Zespół Szkół nr 5 Mistrzostwa Sportowego, ul. gen. Augusta Emila Fieldorfa ""Nila"" 13, 85-796 Bydgoszcz",343,715,1471285,315,620
1408088,"Zespół Szkół nr 5 Mistrzostwa Sportowego, ul. gen. Augusta Emila Fieldorfa ""Nila"" 13, 85-796 Bydgoszcz",343,715,1471287,226,401
1408089,"Szkoła Podstawowa nr 17, ul. gen. Augusta Emila Fieldorfa ""Nila"" 17, 85-796 Bydgoszcz",188,341,1471289,148,285
1408094,"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz",247,419,1471302,185,318
1408095,"Szkoła Podstawowa nr 65, ul. Tomasza Golloba 7, 85-791 Bydgoszcz",202,332,1471302,185,318
