address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"""Nowy Szpital"" w Świebodzinie Sp. z o. o., ul. Młyńska 6, 66-200 Świebodzin",4,6,7,5
"21 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny SP ZOZ w Busku-Zdroju, ul. Feliksa Rzewuskiego 8, 28-100 Busko-Zdrój",172,129,148,111
"6 Szpital Wojskowy z Przychodnią SPZOZ, ul. Szpitalna 2, 08-530 Dęblin",3,8,2,7
"Apartamenty Szczęśliwy Senior, ul. Częstochowska 71-75, 62-800 Kalisz",18,4,37,3
"Budynek KOS Łęg Tarnowski, ul. Witosa 187A, 33-131 Łęg Tarnowski",203,624,369,51
"Budynek Wiejskiego Ośrodka Kultury, os. Osiedle Kozielce 297, 34-451 Tylmanowa",149,870,280,375
"Centrum Kultury, Sportu i Turystyki w Pruchniku, ul. Księdza Bronisława Markiewicza 20, 37-560 Pruchnik",139,594,244,35
"Centrum Medyczne Boruta Sp. z o. o. w Zgierzu, ul. Andrzeja Struga 2-4, 95-100 Zgierz",4,6,6,1
"DPS Filia w Grodzisku Mazowieckim, ul. 3 Maja 63, 05-825 Grodzisk Mazowiecki",1,8,4,6
"Dom Kultury w Ołpinach, Ołpiny 86, 38-247 Ołpiny",87,615,171,25
"Dom Kultury w Szówsku, Szówsko ul. Sportowa 5, 37-522 Wiązownica",136,675,263,115
"Dom Kultury w Wysokiej, Wysoka 81, 37-100 Łańcut",171,743,339,276
"Dom Kultury, Siołkowa 35, 33-330 Grybów",78,656,135,92
"Dom Ludowy w Przegini, Przeginia 116a, 32-049 Przeginia",110,646,278,85
"Dom Ludowy w Wysokiej Głogowskiej, Wysoka Głogowska 302, 36-061 Wysoka Głogowska",142,666,289,140
"Dom Ludowy, ul. Krakowska 98, 32-851 Jadowniki",275,683,461,176
"Dom Opieki ""Spokojna Przystań II"" w Baborowie, ul. Powstańców 3, 48-120 Baborów",10,6,17,4
"Dom Opieki HONORATA. Zakład Opiekuńczo-Leczniczy, ul. Główna 31, 41-500 Chorzów",28,7,31,6
"Dom Opieki Nasz Dom, Jabłkowo 19, 62-285 Popowo Kościelne",0,10,2,9
"Dom Pomocy Pracownika Służby Zdrowia, ul. Elekcyjna 37, 01-119 Warszawa",11,25,16,22
"Dom Pomocy Społecznej ""Biały Potok"" w Trzemeśni, Trzemeśnia 377, 32-425 Trzemeśnia",5,30,14,21
"Dom Pomocy Społecznej ""Chemik"", ul. Władysława Korotyńskiego 10, 02-121 Warszawa",19,34,32,30
"Dom Pomocy Społecznej ""Dom z Sercem"" w Komorowie, ul. Kościelna 2, 07-310 Komorowo",3,8,6,7
"Dom Pomocy Społecznej ""Misericordia"" w Ełku, ul. ks. prał. Mariana Szczęsnego 5, 19-300 Ełk",16,21,21,20
"Dom Pomocy Społecznej ""Miłosierny Samarytanin"", ul. ks. Marcina Lutra 2-8, 54-239 Wrocław",5,10,11,8
"Dom Pomocy Społecznej ""Ostoja"", ul. Pawia 39, 59-300 Lubin",3,28,7,24
"Dom Pomocy Społecznej ""RELAX"", ul. Wójtowska 62, 27-230 Brody",3,24,8,19
"Dom Pomocy Społecznej Caritas Diecezji Kaliskiej im. Św. Józefa, ul. Klonowa 2, 98-270 Złoczew",2,7,5,6
"Dom Pomocy Społecznej Zakonu Bonifratrów w Zebrzydowicach, Zebrzydowice 1, 34-130 Kalwaria Zebrzydowska",2,22,11,17
"Dom Pomocy Społecznej dla Kombatantów, ul. Powstańców Śląskich 4, 35-610 Rzeszów",568,514,41,121
"Dom Pomocy Społecznej dla Osób Przewlekle Psychicznie Chorych w Krowicy Lasowej, Krowica Lasowa 86, 37-625 Krowica Sama",1,13,5,12
"Dom Pomocy Społecznej im. Bpa Stanisława Stefanka, Kolsk 30A, 73-240 Bierzwnik",6,7,12,6
"Dom Pomocy Społecznej prowadzony przez Zakon Kamilianów, ul. Cisowa 6, 41-800 Zabrze",9,23,14,20
"Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Maryi Nieustającej Pomocy, ul. Grunwaldzka 104, 50-357 Wrocław",2,28,7,26
"Dom Pomocy Społecznej w Cetuniu, Cetuń 6, 76-010 Polanów",3,20,10,12
"Dom Pomocy Społecznej w Dolicach, ul. Wiśniowa 12, 73-115 Dolice",7,12,15,11
"Dom Pomocy Społecznej w Dębcach, Dębce 11, 74-100 Gryfino",6,11,16,9
"Dom Pomocy Społecznej w Kamieniu Wielkim, Kamień Wielki ul. Stawna 40, 66-460 Witnica",8,7,11,5
"Dom Pomocy Społecznej w Kobylej Górze, ul. Tomasza Sikorskiego 1, 63-507 Kobyla Góra",3,6,5,3
"Dom Pomocy Społecznej w Poznaniu, ul. Stanisława Konarskiego 11/13, 61-114 Poznań",14,13,23,12
"Dom Pomocy Społecznej w Sosnówce, ul. Liczyrzepy 87, 58-564 Sosnówka",4,15,7,13
"Dom Pomocy Społecznej w Ślesinie, ul. Kościelna 46, 62-561 Ślesin",0,3,2,2
"Dom Pomocy Społecznej, Klęczany 169, 33-394 Klęczany",1,34,2,33
"Dom Pomocy Społecznej, Wapienne 70, 38-307 Wapienne",2,9,5,6
"Dom Pomocy Społecznej, ul. Dobrzyńska 102, 87-800 Włocławek",5,9,14,7
"Dom Pomocy Społecznej, ul. Grabowiecka 7, 27-400 Ostrowiec Świętokrzyski",37,47,78,42
