id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1404421,"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec",225,452,1467407,311,448
1404445,"Dom Ludowy, Krępnica 29A, 59-700 Bolesławiec",116,147,1467435,66,42
1404504,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa",159,304,1467498,220,249
1404511,"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi im. Bohaterów Westerplatte, os. Osiedle Błękitne 25, 58-200 Dzierżoniów",208,329,1467503,275,312
1404540,"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko",80,114,1467537,90,70
1404570,"Państwowa Akademia Nauk Stosowanych, ul. Piotra Skargi 5, 67-200 Głogów",296,614,1467569,681,20
1404682,"Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka",155,108,1467693,91,43
1404714,"Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach, ul. Tysiąclecia 28, 58-573 Piechowice",212,388,1467727,202,288
1404819,"Liceum Ogólnokształcące im. Henryka Sienkiewicza, os. Osiedle Piastowskie 17, 57-400 Nowa Ruda",287,472,1467843,289,356
1404836,"Bystrzycki Ośrodek Kultury i Sportu, ul. Wojska Polskiego 20, 57-500 Bystrzyca Kłodzka",258,426,1467862,282,252
1404843,"Szkoła Podstawowa w Długopolu Dolnym, Długopole Dolne 35, 57-520 Długopole-Zdrój",76,128,1467875,107,99
1404869,"Ośrodek Pomocy Społecznej, ul. Ludwika Zamenhofa 2, 57-540 Lądek-Zdrój",159,304,1467901,268,277
1405002,"Szkoła Podstawowa im. J. Pawła II w Smolniku, Smolnik 52, 59-820 Leśna",215,240,1468044,179,210
1405054,"Przedszkole Miejskie nr 14, ul. Sokola 44, 59-300 Lubin",348,496,1468096,374,405
1405069,"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi, ul. Gwarków 93, 59-300 Lubin",277,379,1468109,478,372
1405109,"Centrum Kultury i Biblioteka w Ścinawie, ul. Tadeusza Kościuszki 1, 59-330 Ścinawa",355,279,1468158,165,102
1405173,"Szkoła Podstawowa Nr 1 w Miliczu, ul. Armii Krajowej 7, 56-300 Milicz",394,675,1468226,692,33
1405271,"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Stefana Batorego 5, 56-416 Twardogóra",387,407,1468331,460,406
1405287,"Centrum Kształcenia Zawodowego i Ustawicznego, ul. ks. Franciszka Kutrowskiego 31, 55-200 Oława",259,429,1468345,268,382
1405290,"Powiatowe Centrum Edukacyjno-Rewalidacyjne, ul. Jarosława Iwaszkiewicza 9A, 55-200 Oława",290,765,1468347,688,254
1405291,"Zespół Szkolno-Przedszkolny Nr 1, ul. Jarosława Iwaszkiewicza 11, 55-200 Oława",339,463,1468349,373,449
1405312,"Publiczna Szkoła Podstawowa, Miłoszyce ul. Główna 24, 55-220 Jelcz-Laskowice",383,604,1468371,791,50
1405454,"Zespół Szkolno-Przedszkolny Sala Sportowa, Lutynia ul. Polna 1B, 55-330 Miękinia",337,637,1468515,685,62
1405456,"Świetlica Wiejska w Wilkszynie, Wilkszyn ul. Sportowa 2, 55-330 Miękinia",306,714,1468517,679,202
1405496,"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Świdnicy, ul. Galla Anonima 1, 58-100 Świdnica",371,509,1468558,626,38
1405497,"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Świdnicy, ul. Galla Anonima 1, 58-100 Świdnica",353,674,1468558,626,38
1405544,"Sala sportowa i edukacyjna, ul. Świdnicka 15a, 58-140 Jaworzyna Śląska",177,234,1468607,254,196
1405545,"Szkoła Podstawowa im. Marii Konopnickiej (sala sportowa), ul. Adama Mickiewicza 10, 58-140 Jaworzyna Śląska",186,224,1468610,284,163
1405674,"Gminne Centrum Kultury i Sztuki w Trzebnicy, ul. Prusicka 12, 55-100 Trzebnica",158,210,1468762,145,112
