address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"""Acherówka"", ul. Walerego Sławka 2, 02-495 Warszawa",686,315,191,579
"""NAZARET"" Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek NMP, ul. Odrowążów 124, 44-103 Gliwice",9,14,7,26
"""Szpital Powiatowy w Jarocinie"" Sp. z o.o., ul. Szpitalna 1, 63-200 Jarocin",14,12,13,20
"116 Szpital Wojskowy z Przychodnią SP ZOZ w Opolu, ul. Walerego Wróblewskiego 46, 45-759 Opole",20,7,15,14
"21 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny SP ZOZ w Busku-Zdroju, ul. Feliksa Rzewuskiego 8, 28-100 Busko-Zdrój",172,129,148,111
"6 Szpital Wojskowy z Przychodnią SPZOZ, ul. Szpitalna 2, 08-530 Dęblin",3,8,2,7
"AAI-Polska AIKIDO, ul. Immanuela Kanta 15A, 10-691 Olsztyn",736,287,132,484
"ATM STUDIO Sp zo. o., ul. Wał Miedzeszyński 384, 03-994 Warszawa",608,228,35,441
"Akademia Pożarnicza, ul. Henryka Siemiradzkiego 2, 01-630 Warszawa",609,238,105,517
"Akademicka Spółdzielnia Mieszkaniowa, Gdańsk ul. Księcia Józefa Poniatowskiego 13, 80-156 Gdańsk 48",750,218,128,362
"Biblioteka - Ośrodek Kultury Gminy Sadowie, Sadowie 90A, 27-580 Sadowie",58,148,42,314
"Biblioteka Miejska w Łodzi Filia Nr 47, ul. Brzeźna 10, 90-303 Łódź",846,217,408,445
"Biblioteka Miejska w Łodzi Filia nr 73, ul. Piękna 35/39, 93-558 Łódź",757,427,250,736
"Biblioteka Publiczna w Dzielnicy Bemowo m. st. Warszawy Punkt Biblioteczny ""Chrzanów"", ul. Batalionów Chłopskich 87, 01-307 Warszawa",756,209,508,641
"Biblioteka Publiczna, ul. Czerwona Droga 6, 02-496 Warszawa",528,144,176,572
"Biblioteka Publiczna, ul. Poznańska 16, 62-095 Murowana Goślina",669,229,88,493
"Biblioteka Publiczna, ul. gen. Tadeusza Pełczyńskiego 28C, 01-471 Warszawa",759,227,347,503
"Biuro Nadleśnictwa, ul. Kopytko 13, 43-300 Bielsko-Biała",764,356,142,659
"Budynek POLO MARKETU, os. Osiedle Prymasa Wyszyńskiego 5, 63-000 Środa Wielkopolska",588,243,60,555
"Budynek Studium Wychowania Fizycznego Wojskowej Akademii Technicznej, ul. Kartezjusza 1, 01-480 Warszawa",745,200,58,317
"Budynek Szpitala w Chodzieży, ul. Strzelecka 32, 64-800 Chodzież",43,25,38,47
"Budynek byłej Szkoły Podstawowej w Obarzymie, Obarzym 36A, 36-204 Dydnia",35,63,34,123
"Budynek gospodarczy (świetlica wiejska), Bąkowo ul. Otomińska 6, 83-050 Kolbudy",751,207,158,505
"Budynek komunalny przy OSP, ul. Ignacego Krasickiego 215, 05-500 Nowa Wola",837,322,517,776
"Budynek Świetlicy na Skwerze Sportów Miejskich, ul. gen. Tadeusza Pełczyńskiego 22H, 01-471 Warszawa",852,218,566,550
"Budynek, ul. Bernardyńska 2, 64-000 Kościan",598,334,61,656
"CLVI Liceum Ogólnokształcące Integracyjne „Przy Łazienkach Królewskich”, ul. Podchorążych 49/61, 00-722 Warszawa",1070,458,833,818
"CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Chełmska 23, 00-724 Warszawa",721,241,249,450
"CPS-Ośrodek Wsparcia i Rehabilitacji Osób Niepełnosprawnych, ul. gen. Władysława Andersa 6/8, 00-201 Warszawa",804,400,531,633
"Centrum ""Attis"" MSB, ul. Górczewska 89, 01-401 Warszawa",10,15,8,22
"Centrum ""Łowicka"" Dom Kultury w Dzielnicy Mokotów m. st. Warszawy, ul. Łowicka 21, 02-502 Warszawa",864,285,570,499
"Centrum Aktywności Lokalnej BOREK, ul. Powstańców Śląskich 210-218, 53-140 Wrocław",799,306,187,545
"Centrum Aktywności Lokalnej Maślice, ul. Suwalska 11, 54-104 Wrocław",615,175,272,477
"Centrum Aktywności Lokalnej Zakrzów, ul. Wilanowska 29a, 51-206 Wrocław",622,446,162,769
"Centrum Alzheimera, al. Aleja Wilanowska 257, 02-730 Warszawa",11,8,10,21
"Centrum Edukacji Nauczycieli, ul. Ferdynanda Ruszczyca 16, 75-654 Koszalin",710,253,56,461
"Centrum Kardiologii Inwazyjnej, Elektroterapii i Angiologii, ul. Jana Kilińskiego 68, 33-300 Nowy Sącz",6,10,2,11
"Centrum Kształcenia Ustawicznego Nr 2, ul. Szczęśliwicka 50/54, 02-353 Warszawa",1261,359,1002,677
"Centrum Kształcenia Zawodowego Nr 1 Wydział Budowlany, ul. Wesele 41, 30-127 Kraków",645,238,370,536
"Centrum Kształcenia Zawodowego i Ustawicznego Nr 1, Gdańsk al. Aleja Gen. Józefa Hallera 16/18, 80-426 Gdańsk 6",700,300,297,563
"Centrum Kształcenia Zawodowego i Ustawicznego Nr 2, Gdańsk ul. Smoleńska 5/7, 80-058 Gdańsk 9",664,379,98,708
"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 1 Ekonomiczne (dawny Zespół Szkół Ekonomicznych), ul. gen. Stefana Grota-Roweckiego 66, 41-214 Sosnowiec",707,298,41,511
"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 4 Transportowe (dawny Zespół Szkół Technicznych i Licealnych), ul. Jana Kilińskiego 31, 41-209 Sosnowiec",876,288,270,534
